Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
Inocente,2012,N/A,01 Feb 2013,40 min,"Documentary, Short, Biography","Sean Fine, Andrea Nix",N/A,N/A,"A personal and vibrant coming of age story about a young artist's determination never to surrender to the bleakness of her surroundings. At 15, Inocente refuses to let her dream of becoming an artist be caged by being an undocumented immigrant forced to live homeless for the last nine years. Color is her personal revolution and its sweep on her canvases creates a world that looks nothing like her own dark past. 'Inocente' is both a timeless story about the transformative power of art and a timely snapshot of the new face of homelessness in America: children. The challenges are staggering, but the hope in her story proves that the hand she has been dealt does not define her, her dreams do.","English, Spanish",United States,Won 1 Oscar. 4 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTM1MzkyMjExMF5BMl5BanBnXkFtZTcwODc1NzEzOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,372,tt2123210,movie,08 Mar 2017,"$2,142,342",N/A,N/A,True,
Inside Job,2010,PG-13,12 Nov 2010,109 min,"Documentary, Crime",Charles Ferguson,"Charles Ferguson, Chad Beck, Adam Bolt","Matt Damon, Gylfi Zoega, Andri Snær Magnason","'Inside Job' provides a comprehensive analysis of the global financial crisis of 2008, which at a cost over $20 trillion, caused millions of people to lose their jobs and homes in the worst recession since the Great Depression, and nearly resulted in a global financial collapse. Through exhaustive research and extensive interviews with key financial insiders, politicians, journalists, and academics, the film traces the rise of a rogue industry which has corrupted politics, regulation, and academia. It was made on location in the United States, Iceland, England, France, Singapore, and China.",English,United States,Won 1 Oscar. 8 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ3MjkyODA2Nl5BMl5BanBnXkFtZTcwNzQxMTU4Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,8.2,"78,740",tt1645089,movie,16 Apr 2012,"$4,312,735",N/A,N/A,True,
Inside Llewyn Davis,2013,R,10 Jan 2014,104 min,"Drama, Music","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Oscar Isaac, Carey Mulligan, John Goodman","Follow a week in the life of a young folk singer as he navigates the Greenwich Village folk scene of 1961. Guitar in tow, huddled against the unforgiving New York winter, he is struggling to make it as a musician against seemingly insurmountable obstacles -- some of them of his own making.",English,"United States, United Kingdom, France",Nominated for 2 Oscars. 46 wins & 174 nominations total,https://m.media-amazon.com/images/M/MV5BMjAxNjcyNDQxM15BMl5BanBnXkFtZTgwNzU2NDA0MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",93,7.4,"162,504",tt2042568,movie,11 Mar 2014,"$13,235,319",N/A,N/A,True,
Inside Out,2015,PG,19 Jun 2015,95 min,"Animation, Adventure, Comedy","Pete Docter, Ronnie Del Carmen","Pete Docter, Ronnie Del Carmen, Meg LeFauve","Amy Poehler, Bill Hader, Lewis Black","Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.","English, Portuguese, Latvian, Russian, Ukrainian",United States,Won 1 Oscar. 99 wins & 118 nominations total,https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94,8.1,"779,869",tt2096673,movie,03 Nov 2015,"$356,921,711",N/A,N/A,True,
Instead of Abracadabra,2008,N/A,12 Mar 2010,22 min,"Short, Action, Comedy",Patrik Eklund,Patrik Eklund,"Simon J. Berger, Jacob Nordenson, Anki Larsson","Thomas is 25, jobless, living with his parents - trying to be a magician. He's smitten by Monika, a new neighbor who's a doctor at the hospital where they take his mom when one of his tricks goes awry. She seems out of his league, but she invites him to perform at a child's party. He begs his skeptical father to let him perform at dad's 60th birthday. Monika is in the audience. Breaking a promise to his father, Thomas attempts the trick that nearly killed his mother: swords through a box inside of which is a volunteer. With family, friends, and Monika watching, will it go well, will he make a good impression, or is too much beyond his control?",Swedish,Sweden,Nominated for 1 Oscar. 2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTUzYzhmZTMtZDIzYi00MzZmLWE5MTctMTVlOTBkMWI2NDc4XkEyXkFqcGdeQXVyMjk4MTU1MjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,578,tt1351684,movie,N/A,N/A,N/A,N/A,True,
Interstellar,2014,PG-13,07 Nov 2014,169 min,"Adventure, Drama, Sci-Fi",Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Matthew McConaughey, Anne Hathaway, Jessica Chastain","Earth's future has been riddled by disasters, famines, and droughts. There is only one way to ensure mankind's survival: Interstellar travel. A newly discovered wormhole in the far reaches of our solar system allows a team of astronauts to go where no man has gone before, a planet that may have the right environment to sustain human life.",English,"United States, United Kingdom, Canada",Won 1 Oscar. 44 wins & 148 nominations total,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,8.7,"2,071,776",tt0816692,movie,24 May 2016,"$188,020,017",N/A,N/A,True,
Into the Woods,2014,PG,25 Dec 2014,125 min,"Adventure, Comedy, Drama",Rob Marshall,"James Lapine, Stephen Sondheim","Anna Kendrick, Meryl Streep, Chris Pine","Into the Woods is a modern twist on the beloved Brothers Grimm fairy tales in a musical format that follows the classic tales of Cinderella, Little Red Riding Hood, Jack and the Beanstalk, and Rapunzel-all tied together by an original story involving a baker and his wife, their wish to begin a family and their interaction with the witch who has put a curse on them.",English,"United States, Canada, Italy, United Kingdom",Nominated for 3 Oscars. 11 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BMTY4MzQ4OTY3NF5BMl5BanBnXkFtZTgwNjM5MDI3MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,5.9,"147,783",tt2180411,movie,05 Nov 2015,"$128,002,372",N/A,N/A,True,
Invictus,2009,PG-13,11 Dec 2009,134 min,"Biography, Drama, History",Clint Eastwood,"Anthony Peckham, John Carlin","Morgan Freeman, Matt Damon, Tony Kgoroge","This movie tells the inspiring true story of how Nelson Mandela (Morgan Freeman) joined forces with the Captain of South Africa's rugby team, Francois Pienaar (Matt Damon) to help unite their country. Newly-elected President Mandela knows his nation remains racially and economically divided in the wake of Apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's rugby team as they make their run to the 1995 Rugby World Cup Championship match.","English, Afrikaans, Maori, Zulu, Xhosa, Sotho",United States,Nominated for 2 Oscars. 12 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BMjAyMzExMDM1N15BMl5BanBnXkFtZTcwNTcyMTQ5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.3,"167,501",tt1057500,movie,23 Oct 2011,"$37,491,364",N/A,N/A,True,
Invincible: Atom Eve,2023,TV-MA,21 Jul 2023,55 min,"Animation, Action, Adventure",Haylee Herrick,"Robert Kirkman, Cory Walker, Ryan Ottley","Steven Yeun, Sandra Oh, J.K. Simmons","In this special prequel episode, Samantha 'Atom Eve' Wilkins discovers her superpowers as a young girl - and must come to terms with her own sinister origins as she discovers a family she never knew she had.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYTM3OTI4NDEtOTVkNy00OGI2LThhNjYtNDUzZTYzYWVjYjhhXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"13,237",tt28452191,movie,N/A,N/A,N/A,N/A,True,
Io Capitano,2023,Not Rated,07 Sep 2023,121 min,Drama,Matteo Garrone,"Matteo Garrone, Massimo Ceccherini, Massimo Gaudioso","Seydou Sarr, Moustapha Fall, Issaka Sawadogo","A Homeric fairy tale that tells the adventurous journey of two young boys, Seydou and Moussa, who leave Dakar to reach Europe.","Wolof, French, Arabic, English","Italy, Belgium, France",Nominated for 1 Oscar. 19 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BM2IxNjg4MmQtNmJmMi00MjNlLWFlMjAtMzI4M2FkNTFjMTU1XkEyXkFqcGdeQXVyMjUzMTYzMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"8,585",tt14225838,movie,N/A,"$150,048",N/A,N/A,True,
Iron Man,2008,PG-13,02 May 2008,126 min,"Action, Adventure, Sci-Fi",Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard","Tony Stark. Genius, billionaire, playboy, philanthropist. Son of legendary inventor and weapons contractor Howard Stark. When Tony Stark is assigned to give a weapons presentation to an Iraqi unit led by Lt. Col. James Rhodes, he's given a ride on enemy lines. That ride ends badly when Stark's Humvee that he's riding in is attacked by enemy combatants. He survives - barely - with a chest full of shrapnel and a car battery attached to his heart. In order to survive he comes up with a way to miniaturize the battery and figures out that the battery can power something else. Thus Iron Man is born. He uses the primitive device to escape from the cave in Iraq. Once back home, he then begins work on perfecting the Iron Man suit. But the man who was put in charge of Stark Industries has plans of his own to take over Tony's technology for other matters.","English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian","United States, Canada",Nominated for 2 Oscars. 24 wins & 73 nominations total,https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.9,"1,119,769",tt0371746,movie,01 Mar 2013,"$319,034,126",N/A,N/A,True,
Iron Man 2,2010,PG-13,07 May 2010,124 min,"Action, Sci-Fi",Jon Favreau,"Justin Theroux, Stan Lee, Don Heck","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow","With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press, and the public to share his technology with the military. Unwilling to let go of his invention, Stark, along with Pepper Potts, and James ""Rhodey"" Rhodes at his side, must forge new alliances - and confront powerful enemies.","English, French, Russian",United States,Nominated for 1 Oscar. 7 wins & 45 nominations total,https://m.media-amazon.com/images/M/MV5BZGVkNDAyM2EtYzYxYy00ZWUxLTgwMjgtY2VmODE5OTk3N2M5XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.9,"865,285",tt1228705,movie,03 May 2013,"$312,433,331",N/A,N/A,True,
Iron Man 3,2013,PG-13,03 May 2013,130 min,"Action, Adventure, Sci-Fi",Shane Black,"Drew Pearce, Shane Black, Stan Lee","Robert Downey Jr., Guy Pearce, Gwyneth Paltrow","Marvel's ""Iron Man 3"" pits brash-but-brilliant industrialist Tony Stark/Iron Man against an enemy whose reach knows no bounds. When Stark finds his personal world destroyed at his enemy's hands, he embarks on a harrowing quest to find those responsible. This journey, at every turn, will test his mettle. With his back against the wall, Stark is left to survive by his own devices, relying on his ingenuity and instincts to protect those closest to him. As he fights his way back, Stark discovers the answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man?",English,United States,Nominated for 1 Oscar. 20 wins & 63 nominations total,https://m.media-amazon.com/images/M/MV5BMjE5MzcyNjk1M15BMl5BanBnXkFtZTcwMjQ4MjcxOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.1,"894,824",tt1300854,movie,08 Apr 2015,"$409,013,994",N/A,N/A,True,
Island in Between,2023,N/A,29 Sep 2023,20 min,"Documentary, Short",S. Leo Chiang,"S. Leo Chiang, David Teague",N/A,"S. Leo Chiang reflects on his relationship with Taiwan, the United States and China from the islands of Kinmen, just a few miles from mainland China.","English, Mandarin",Taiwan,Nominated for 1 Oscar. 1 nomination total,https://m.media-amazon.com/images/M/MV5BMDAxODgxNWUtYzU5Yy00MDljLTg3ZGMtN2UwNzcwMjM5ZGY2XkEyXkFqcGdeQXVyNTcxMDI4MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,296,tt30523942,movie,N/A,N/A,N/A,N/A,True,
Isle of Dogs,2018,PG-13,13 Apr 2018,101 min,"Animation, Adventure, Comedy",Wes Anderson,"Wes Anderson, Roman Coppola, Jason Schwartzman","Bryan Cranston, Koyu Rankin, Edward Norton","An outbreak of dog flu has spread through the city of Megasaki, Japan, and Mayor Kobayashi has demanded all dogs to be sent to Trash Island. On the island, a young boy named Atari sets out to find his lost dog, Spots, with the help of five other dogs... with many obstacles along the way.","English, Japanese","United Kingdom, Germany, Japan, United States",Nominated for 2 Oscars. 34 wins & 95 nominations total,https://m.media-amazon.com/images/M/MV5BZDQwOWQ2NmUtZThjZi00MGM0LTkzNDctMzcyMjcyOGI1OGRkXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.8,"189,755",tt5104604,movie,27 Jun 2018,"$32,015,231",N/A,N/A,True,
Jackass Presents: Bad Grandpa,2013,R,25 Oct 2013,92 min,Comedy,Jeff Tremaine,"Johnny Knoxville, Spike Jonze, Jeff Tremaine","Johnny Knoxville, Jackson Nicoll, Gregorio","Eighty-six-year-old Irving Zisman is on a journey across America with the most unlikely companion: his eight-year-old grandson Billy, in ""Jackass Presents: Bad Grandpa"". Jackass characters Irving Zisman (Johnny Knoxville) and Billy (Jackson Nicoll) will take movie audiences along for the most insane hidden camera road trip ever captured on camera. Along the way Irving will introduce the young and impressionable Billy to people, places, and situations that give new meaning to the term ""childrearing"". The duo will encounter male strippers, disgruntled child beauty pageant contestants (and their equally disgruntled mothers), funeral home mourners, biker bar patrons, and a whole lot of unsuspecting citizens. Real people in unreal situations, making for one really messed up comedy.","English, Spanish",United States,Nominated for 1 Oscar. 1 win & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMTg4NjIwMTI5OV5BMl5BanBnXkFtZTgwNjU1MTMyMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.5,"98,198",tt3063516,movie,29 Sep 2015,"$102,003,019",N/A,N/A,True,
Jackie,2016,R,02 Dec 2016,100 min,"Biography, Drama",Pablo Larraín,Noah Oppenheim,"Natalie Portman, Peter Sarsgaard, Greta Gerwig","This movie is a portrait of one of the most important and tragic moments in American history, seen through the eyes of the iconic First Lady, then Jacqueline Kennedy (Natalie Portman). Jackie places us in her world during the days immediately following her husband's assassination. Known for her extraordinary dignity and poise, here we see a portrait of the First Lady as she fights to establish her husband's legacy and the world of ""Camelot"" that she created and loved so well.","English, Spanish","United States, France, Chile, China",Nominated for 3 Oscars. 44 wins & 170 nominations total,https://m.media-amazon.com/images/M/MV5BMzg4MjYzNjk5N15BMl5BanBnXkFtZTgwODgwODI3MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,6.7,"83,338",tt1619029,movie,21 Feb 2017,"$13,960,394",N/A,N/A,True,
Jane Eyre,2011,PG-13,22 Apr 2011,120 min,"Drama, Mystery, Romance",Cary Joji Fukunaga,"Moira Buffini, Charlotte Brontë","Mia Wasikowska, Michael Fassbender, Jamie Bell","After a bleak childhood, Jane Eyre (Mia Wasikowska) goes out into the world to become a governess. As she lives happily in her new position at Thornfield Hall, she meets the dark, cold, and abrupt master of the house, Mr. Edward Rochester (Michael Fassbender). Jane and her employer grow close in friendship and she soon finds herself falling in love with him. Happiness seems to have found Jane at last, but could Mr. Rochester's terrible secret be about to destroy it forever?","English, French","United Kingdom, United States",Nominated for 1 Oscar. 10 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNjU0Mjc0NzU3NF5BMl5BanBnXkFtZTcwMTU4OTkwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.3,"92,795",tt1229822,movie,12 Feb 2014,"$11,242,660",N/A,N/A,True,
Joanna Lumley Meets Will.I.Am,2014,N/A,28 Mar 2014,60 min,Documentary,Adrian Sibley,N/A,"Joanna Lumley, Daniel Recchia, Will.i.am","Joanna Lumley gets to know will.i.am the front man of the Black Eyed Peas. Traveling to L.A she to spends time with the music performer, producer, and The Voice judge in his home town. Joanna bonds with his mother over dinner as s...",English,United Kingdom,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,21,tt3655574,movie,N/A,N/A,N/A,N/A,True,
Joe's Violin,2016,N/A,01 Apr 2016,24 min,"Documentary, Short, History",Kahane Cooperman,N/A,"Kathleen Drohan, Joseph Feingold, Regina Feingold","A 91-year-old Holocaust survivor donates his violin to an instrument drive, changing the life of a 12-year-old schoolgirl from the Bronx and unexpectedly, his own.",English,United States,Nominated for 1 Oscar. 6 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZWY2ZmRhYTItZjdlOS00Y2RkLWE2MWEtZGIxYzE2ZmIzNzJjXkEyXkFqcGdeQXVyNDUwMDA4Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,776,tt5639178,movie,N/A,N/A,N/A,N/A,True,
Jojo Rabbit,2019,PG-13,08 Nov 2019,108 min,"Comedy, Drama, War",Taika Waititi,"Christine Leunens, Taika Waititi","Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson","A World War II satire that follows a lonely German boy named Jojo (Roman Griffin Davis) whose world view is turned upside down when he discovers his single mother (Scarlett Johansson) is hiding a young Jewish girl (Thomasin McKenzie) in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler (Taika Waititi), Jojo must confront his blind nationalism.","English, German","Czech Republic, New Zealand, United States",Won 1 Oscar. 52 wins & 192 nominations total,https://m.media-amazon.com/images/M/MV5BZjU0Yzk2MzEtMjAzYy00MzY0LTg2YmItM2RkNzdkY2ZhN2JkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.9,"437,063",tt2584384,movie,08 Nov 2019,"$33,370,906",N/A,N/A,True,
Joker,2019,R,04 Oct 2019,122 min,"Crime, Drama, Thriller",Todd Phillips,"Todd Phillips, Scott Silver, Bob Kane","Joaquin Phoenix, Robert De Niro, Zazie Beetz","Arthur Fleck works as a clown and is an aspiring stand-up comic. He has mental health issues, part of which involves uncontrollable laughter. Times are tough and, due to his issues and occupation, Arthur has an even worse time than most. Over time these issues bear down on him, shaping his actions, making him ultimately take on the persona he is more known as...Joker.","English, German","United States, Canada, Australia",Won 2 Oscars. 121 wins & 245 nominations total,https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,8.4,"1,477,104",tt7286456,movie,03 Oct 2019,"$335,477,657",N/A,N/A,True,
Joy,2015,PG-13,25 Dec 2015,124 min,"Biography, Drama",David O. Russell,"David O. Russell, Annie Mumolo","Jennifer Lawrence, Robert De Niro, Bradley Cooper","Joy Mangano has always been fascinated by creating things, This pursuit was always supported emotionally by her maternal grandmother, Mimi. Joy feels that lack of practical support has led to others making fortunes on ideas she came up with years ago but could not act upon manufacturing. Despite being broke, Joy is the person in her extended family to whom everyone has always turned, in the process forgoing her own life, including not having attended college to help see her parents through their divorce. She works in an unsatisfying job as an Eastern Airlines ticket clerk; and lives with her mother Terry who spends all day in bed watching soap operas; her ex-husband Tony, a less than successful aspiring Latino Tom Jones wannabe; and their two children. Added to this mix is her father Rudy, the owner of a failing heavy-duty garage, which is managed by Joy's older half-sister Peggy, with whom she has somewhat of a strained relationship, and for which Joy does the books. Sharon, Rudy's latest girlfriend who has just dumped him, drops him off on Joy's doorstep, making Joy's home life even more complicated as Rudy does not get along with either Terry or Tony. Joy begins to feel buried by her life, in the process her childhood dream of making things seemingly getting farther and farther away. As such, Joy decides to make some changes in her life, and expects the unquestioning practical support of her family. Those changes include manufacturing a new product of her design; what she chooses this time around being a self-wringing mop. That support also includes being able to pitch the idea to Rudy's current wealthy girlfriend, Trudy. Even if she does get to the manufacturing stage, Joy will have to battle the narrow minds of business executives in marketing her product, that is unless she can find a way to get into the homes of the American public in one fell swoop. But nothing is a done deal until the consumer forks out his/her hard earned money for the product and all the legal issues are dealt with. Joy has to decide if she will ""pick up the gun"" as Trudy asked in their initial investment meeting in dealing with an especially troublesome legal issue.","English, Spanish, French",United States,Nominated for 1 Oscar. 8 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BNzRiOWZmMzUtZTJiOC00MjQ1LTkwMjgtNzhlYzBmODAzYTA0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.6,"144,643",tt2446980,movie,08 Apr 2016,"$56,451,232",N/A,N/A,True,
Judy,2019,PG-13,04 Oct 2019,118 min,"Biography, Drama, Music",Rupert Goold,"Tom Edge, Peter Quilter","Renée Zellweger, Jessie Buckley, Finn Wittrock","Thirty years after starring in The Wizard of Oz (1939), beloved actress and singer Judy Garland (Renée Zellweger) arrives in London, England to perform sold-out shows at the Talk of the Town nightclub. While there, she reminisces with friends and fans and begins a whirlwind romance with musician Mickey Deans (Finn Wittrock), her soon-to-be fifth husband.",English,"United Kingdom, France",Won 1 Oscar. 23 wins & 68 nominations total,https://m.media-amazon.com/images/M/MV5BYmE0OTE5NWItMGYyZi00MzUxLWFjN2QtYzBkZGRjZGVmMGFmXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.8,"54,561",tt7549996,movie,27 Sep 2019,"$24,313,888",N/A,N/A,True,
Julie & Julia,2009,PG-13,07 Aug 2009,123 min,"Biography, Drama, Romance",Nora Ephron,"Nora Ephron, Julie Powell, Julia Child","Amy Adams, Meryl Streep, Chris Messina","Julia Child and Julie Powell - both of whom wrote memoirs - find their lives intertwined. Though separated by time and space, both women are at loose ends... until they discover that with the right combination of passion, fearlessness and butter, anything is possible.","English, French",United States,Nominated for 1 Oscar. 26 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BMzA4NjA2NjI2NV5BMl5BanBnXkFtZTcwOTEzNzI2Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.0,"128,491",tt1135503,movie,16 Apr 2012,"$94,125,426",N/A,N/A,True,
Karama Has No Walls,2012,Not Rated,01 Mar 2012,26 min,"Documentary, Short, Drama",Sara Ishaq,Fuad Al-Qrize,"Saleem Al-Harazi, Anwar Al-Muati","'Karama has no walls' is set amidst Yemen's 2011 uprising. The film illustrates the nature of the Yemeni revolution in stark contrast to the gross violations of human rights that took place on Friday, March 18th 2011. Juma'at El-Karama (Friday of Dignity) marks a turning point in the Yemeni revolution as the tragic events that took place on this day -when pro-government snipers shot dead 53 protestors - shook the nation and propelled hundreds of thousands more to flock to the square in solidarity with their fellow citizens. Through the lenses of two cameramen and the accounts of two fathers, the film retells the story of the people behind the statistics and news reports, encapsulating the tragic events of the day as they unfolded.",Arabic,"Yemen, United Kingdom",Nominated for 1 Oscar. 5 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZDAyOTVlY2MtMjE5My00YmQ0LTk2ZTAtYThlMzdiNDY1YjljXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,213,tt2551790,movie,11 Mar 2017,N/A,N/A,N/A,True,
Kavi,2009,TV-PG,12 Mar 2010,19 min,"Short, Drama",Gregg Helvey,"Gregg Helvey, Athar Nawaaz","Sagar Salunkhe, Ulhas Tayade, Rajesh Bàgotra","In modern Maharashtra, Kavi, perhaps 10, lives with his parents at a brickworks, where his father is indentured. The energetic Kavi sees himself as the boss's fastest worker. In the family's single room - with a metal door an overseer bangs each day to call the workforce - there's a small plant the family calls its farm. The boss seems to appreciate Kavi's enthusiasm, but a beating is never far away. Besides pride in his industry, Kavi has dreams: to join other boys in a game of cricket and to go to school. His parents tell him it's not for him. Then, Kavi has a brief encounter with two men asking questions about the brickyard. What should Kavi do? How much should he risk?",Hindi,"United States, India",Nominated for 1 Oscar. 20 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMzdlMzU5NjUtMGEwNS00ZmQ3LWI3OTQtZWViMjI5ZmMwNmRjXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,408,tt1399573,movie,11 Feb 2017,N/A,N/A,N/A,True,
